(3,13998)
(3,7989)
(9,4237)
(9,41976)
(16,38515)
(16,25005)
(27,27893)
(32,11677)
(41,7370)
(46,35255)
(53,22047)
(53,27977)
(58,38543)
(59,34626)
(60,32196)
(60,48785)
(70,7132)
(72,15117)
(72,18845)
(77,5564)
(78,8652)
(80,38582)
(80,13039)
(84,22878)
(84,10063)
(89,30034)
(90,51640)
(90,2113)
(98,30386)
(98,14306)
(102,41705)
(102,6008)
(104,33989)
(104,45898)
(110,25754)
(114,52015)
(114,37366)
(117,12078)
(118,29681)
(118,37275)
(126,5665)
(130,3309)
(131,8894)
(132,334)
(132,46851)
(136,41721)
(147,28957)
(147,42528)
(158,19696)
(158,47659)
(162,2478)
(172,27692)
(173,9456)
(173,11325)
(174,1323)
(174,4083)
(177,11736)
(184,42236)
(184,3663)
(187,32996)
(197,31761)
(197,40087)
(204,49536)
(204,25972)
(206,53328)
(209,12301)
(209,41690)
(213,41621)
(215,19530)
(215,52907)
(226,24198)
(233,37884)
(233,37884)
(236,21116)
(242,13017)
(254,49291)
(256,49623)
(271,24364)
(282,42713)
(286,17891)
(294,778)
(297,16424)
(297,43628)
(307,51068)
(310,27775)
(320,4912)
(323,3722)
(323,4652)
(323,42137)
(325,6772)
(329,12733)
(329,11255)
(333,25046)
(333,3065)
(334,52018)
(334,29881)
(341,14117)
(342,29740)
(342,21451)
(345,7580)
(345,26056)
(346,23076)
(351,10127)
(351,53466)
(355,17244)
(355,17785)
(364,34231)
(370,5957)
(370,26139)
(377,6164)
(377,34273)
(384,51019)
(387,8942)
(387,6062)
(389,43602)
(389,50279)
(396,20918)
(402,9044)
(405,50697)
(405,28270)
(407,16820)
(413,29013)
(413,13846)
(416,15958)
(416,22219)
(426,30913)
(427,25893)
(432,21031)
(432,41281)
(434,6874)
(434,5325)
(435,2858)
(435,49706)
(435,35106)
(435,25727)
(445,34509)
(449,40864)
(454,45092)
(457,48068)
(457,18324)
(458,28913)
(458,10063)
(463,4708)
(466,14891)
(466,42748)
(468,37084)
(469,4765)
(472,17260)
(472,38839)
(477,34930)
(477,32802)
(488,47233)
(488,7350)
(497,41520)
(497,19382)
(498,47410)
(498,6978)
(503,33730)
(506,41126)
(508,28945)
(522,32852)
(522,32852)
(526,39854)
(527,11432)
(527,46762)
(539,41642)
(539,31547)
(547,40590)
(547,46634)
(553,33879)
(553,1347)
(556,31286)
(556,41839)
(558,14765)
(560,21778)
(572,52776)
(572,38199)
(574,43953)
(578,6766)
(578,21674)
(580,11094)
(580,34631)
(586,13625)
(587,6671)
(587,52838)
(590,9767)
(592,26918)
(593,36477)
(593,36477)
(601,6759)
(607,43039)
(607,9100)
(608,43966)
(608,20129)
(611,25359)
(618,2647)
(619,43154)
(619,14693)
(627,7787)
(627,2769)
(628,22154)
(632,18808)
(632,33528)
(638,12299)
(638,8842)
(638,32052)
(640,17158)
(640,18249)
(642,9549)
(642,45389)
(646,41005)
(646,4033)
(648,31280)
(648,41372)
(650,40122)
(659,11474)
(659,2546)
(660,43716)
(662,22819)
(662,14323)
(665,33273)
(665,2777)
(673,37901)
(675,22708)
(675,46521)
(677,26328)
(679,44129)
(697,23298)
(697,1711)
(698,33928)
(716,38706)
(716,20692)
(721,41751)
(732,14913)
(732,9985)
(735,3980)
(743,37384)
(743,50299)
(745,32390)
(749,21162)
(749,14940)
(755,1964)
(757,39401)
(758,45383)
(758,18818)
(771,25521)
(771,25521)
(772,16292)
(772,50666)
(772,10042)
(778,13671)
(778,21137)
(779,32050)
(779,20800)
(783,35718)
(793,46222)
(797,5316)
(797,26836)
(800,22984)
(800,53157)
(809,37912)
(811,38579)
(816,43775)
(816,39410)
(830,49739)
(830,32539)
(831,11389)
(831,2193)
(834,12929)
(834,41581)
(835,13259)
(835,21434)
(838,20675)
(841,38583)
(841,38702)
(841,11794)
(852,4941)
(852,52976)
(856,6752)
(861,16851)
(868,29578)
(868,31927)
(871,3118)
(871,44761)
(872,26376)
(872,25534)
(874,31822)
(874,10524)
(879,4520)
(883,14385)
(883,47622)
(890,3081)
(890,33690)
(891,15247)
(891,9428)
(904,41909)
(904,5201)
(905,15660)
(905,15660)
(911,15737)
(911,27112)
(912,5468)
(912,29783)
(913,34571)
(913,37848)
(920,53596)
(920,5744)
(923,21225)
(943,20080)
(943,20080)
(951,8078)
(951,33644)
(958,46427)
(958,1430)
(982,25668)
(983,20539)
(983,20429)
(988,8850)
(988,13944)
(991,4800)
(991,52791)
(992,49771)
(993,20964)
(1000,21331)
(1001,51902)
(1001,47388)
(1002,52771)
(1009,35892)
(1021,44249)
(1021,26904)
(1029,38656)
(1037,14479)
(1037,44312)
(1044,17397)
(1051,6794)
(1053,477)
(1053,36645)
(1058,3157)
(1061,10650)
(1061,49398)
(1065,12930)
(1065,18262)
(1068,29587)
(1068,53251)
(1073,50855)
(1091,6283)
(1092,28024)
(1101,29924)
(1102,27221)
(1102,26269)
(1103,19145)
(1103,23771)
(1103,11019)
(1105,11355)
(1106,31479)
(1106,14425)
(1128,4836)
(1128,4827)
(1133,42120)
(1136,51621)
(1136,34511)
(1137,341)
(1140,33868)
(1140,32677)
(1141,11109)
(1150,45301)
(1151,50261)
(1151,45373)
(1155,25918)
(1159,7808)
(1159,14849)
(1160,26998)
(1160,26998)
(1168,52009)
(1171,16113)
(1173,43646)
(1173,40781)
(1182,19057)
(1183,26321)
(1189,51310)
(1189,7883)
(1191,21192)
(1193,17142)
(1194,21414)
(1194,46559)
(1199,21466)
(1199,12979)
(1209,3295)
(1210,16679)
(1210,52882)
(1218,48298)
(1218,7161)
(1219,2141)
(1219,30655)
(1228,23571)
(1232,9615)
(1232,9606)
(1240,18572)
(1242,39457)
(1248,52666)
(1249,28609)
(1252,5767)
(1253,2707)
(1253,30606)
(1265,22087)
(1265,16491)
(1274,1248)
(1315,37814)
(1315,3999)
(1320,48301)
(1320,37873)
(1323,26288)
(1323,1578)
(1325,31665)
(1325,40598)
(1326,12283)
(1329,41447)
(1329,15009)
(1330,21578)
(1330,36270)
(1333,8806)
(1333,15852)
(1336,4305)
(1338,23999)
(1347,29467)
(1353,20575)
(1359,5448)
(1359,23424)
(1361,346)
(1361,2671)
(1375,53237)
(1376,49793)
(1376,27045)
(1377,2313)
(1378,33007)
(1378,29274)
(1378,41813)
(1389,13025)
(1398,32793)
(1398,49264)
(1405,2556)
(1405,6512)
(1409,628)
(1409,51773)
(1410,28984)
(1410,40914)
(1412,40274)
(1412,31382)
(1413,31578)
(1424,18489)
(1424,34672)
(1430,6293)
(1430,46332)
(1430,49081)
(1435,34378)
(1435,590)
(1440,6982)
(1455,18816)
(1455,44833)
(1460,547)
(1460,27212)
(1466,43683)
(1466,47419)
(1475,42683)
(1477,19073)
(1483,21464)
(1483,27798)
(1487,40249)
(1487,17209)
(1487,52543)
(1490,23974)
(1490,44075)
(1492,20108)
(1492,13733)
(1497,52094)
(1499,12526)
(1499,21726)
(1500,29428)
(1500,31989)
(1503,33239)
(1503,32927)
(1517,22406)
(1517,31974)
(1518,28965)
(1520,50812)
(1521,46355)
(1521,9863)
(1526,32748)
(1527,34045)
(1535,52068)
(1535,38844)
(1537,184)
(1542,44493)
(1542,1542)
(1545,38894)
(1545,20821)
(1546,37021)
(1546,2064)
(1548,39883)
(1552,25149)
(1552,24515)
(1563,3344)
(1563,23149)
(1564,26805)
(1566,43537)
(1569,30851)
(1570,18164)
(1575,10038)
(1575,12626)
(1578,45397)
(1592,52283)
(1592,52283)
(1595,43321)
(1609,7168)
(1609,30087)
(1611,38213)
(1611,7915)
(1613,18370)
(1613,11736)
(1617,50904)
(1617,42560)
(1630,39416)
(1632,22172)
(1632,8459)
(1637,46801)
(1637,48063)
(1638,47887)
(1638,22980)
(1647,2803)
(1647,49438)
(1648,6256)
(1648,46258)
(1649,48680)
(1652,31545)
(1652,32898)
(1653,9677)
(1657,24440)
(1657,32725)
(1660,8549)
(1662,42928)
(1662,53566)
(1665,52316)
(1665,30136)
(1665,4008)
(1668,29817)
(1668,29817)
(1695,2124)
(1695,20790)
(1699,32237)
(1699,9140)
(1710,19540)
(1711,23298)
(1711,19141)
(1718,34390)
(1719,51106)
(1719,20659)
(1720,28204)
(1720,51347)
(1726,12842)
(1726,20899)
(1732,27236)
(1732,5305)
(1735,31157)
(1736,19426)
(1736,20819)
(1740,46112)
(1740,3442)
(1744,7246)
(1744,19809)
(1754,1808)
(1760,18731)
(1760,20463)
(1768,6467)
(1772,1772)
(1775,35932)
(1775,23658)
(1786,24413)
(1786,15525)
(1790,30909)
(1793,53222)
(1793,38957)
(1797,24033)
(1797,2982)
(1804,11434)
(1804,30417)
(1807,37588)
(1808,23427)
(1814,28522)
(1814,46120)
(1826,18979)
(1826,33848)
(1826,39460)
(1834,6250)
(1834,30168)
(1842,21932)
(1842,46125)
(1850,37752)
(1850,53174)
(1852,22787)
(1852,42037)
(1854,43342)
(1879,47172)
(1879,51771)
(1880,4300)
(1890,8861)
(1890,8861)
(1893,41975)
(1893,27209)
(1898,40644)
(1909,45533)
(1914,52094)
(1917,4827)
(1917,851)
(1918,7665)
(1920,40256)
(1920,44120)
(1922,11930)
(1927,53485)
(1929,21707)
(1934,33981)
(1934,29722)
(1935,44919)
(1936,50860)
(1948,36264)
(1959,14477)
(1959,14477)
(1964,3778)
(1965,31707)
(1965,20191)
(1968,2638)
(1968,17811)
(1970,50617)
(1970,12742)
(1975,48758)
(1975,45154)
(1977,29226)
(1983,33636)
(1988,13510)
(1988,45811)
(1992,26749)
(1992,35232)
(1995,53099)
(2000,46470)
(2000,44373)
(2004,12950)
(2004,44725)
(2013,44406)
(2013,26676)
(2064,46288)
(2083,40137)
(2086,35504)
(2087,36586)
(2087,26991)
(2088,24161)
(2088,24161)
(2098,41508)
(2098,25817)
(2099,17410)
(2099,26594)
(2101,48442)
(2101,34609)
(2102,2375)
(2112,2286)
(2112,13837)
(2113,19533)
(2113,13025)
(2124,46855)
(2132,49771)
(2132,49721)
(2136,18107)
(2136,16805)
(2141,40691)
(2141,35899)
(2146,2650)
(2146,10601)
(2148,22971)
(2149,37357)
(2149,37780)
(2151,3730)
(2151,45723)
(2154,53047)
(2166,37262)
(2167,10191)
(2168,17080)
(2168,24015)
(2168,47018)
(2168,42514)
(2180,13155)
(2184,44852)
(2184,2185)
(2185,35183)
(2186,43903)
(2193,11941)
(2193,831)
(2194,16439)
(2208,13863)
(2208,46730)
(2218,50464)
(2218,20768)
(2221,7279)
(2221,15530)
(2223,30613)
(2223,30613)
(2225,26954)
(2225,6199)
(2232,19225)
(2234,49324)
(2234,25504)
(2238,52726)
(2238,21648)
(2241,32281)
(2241,53122)
(2247,42419)
(2247,39180)
(2252,34581)
(2258,33332)
(2258,17219)
(2262,53604)
(2262,32758)
(2266,21817)
(2266,42190)
(2273,33256)
(2277,10664)
(2277,33109)
(2283,15544)
(2283,4454)
(2285,20264)
(2285,28893)
(2286,20518)
(2288,5188)
(2288,44368)
(2295,31658)
(2302,52972)
(2302,52972)
(2313,50333)
(2313,1377)
(2314,1424)
(2314,2314)
(2314,12858)
(2317,48851)
(2317,23863)
(2321,30894)
(2321,32837)
(2336,46734)
(2336,26369)
(2340,17634)
(2340,38100)
