(3,13998)
(3,7989)
(9,4237)
(9,41976)
(16,38515)
(16,25005)
(27,27893)
(41,7370)
(53,22047)
(53,27977)
(60,48785)
(80,38582)
(80,13039)
(84,10063)
(89,30034)
(98,30386)
(98,14306)
(102,41705)
(102,6008)
(110,25754)
(118,29681)
(118,37275)
(126,5665)
(131,8894)
(158,19696)
(158,47659)
(162,2478)
(173,9456)
(173,11325)
(174,1323)
(174,4083)
(177,11736)
(184,42236)
(184,3663)
(197,31761)
(197,40087)
(206,53328)
(209,12301)
(209,41690)
(213,41621)
(215,19530)
(215,52907)
(233,37884)
(233,37884)
(236,21116)
(242,13017)
(286,17891)
(294,778)
(297,16424)
(307,51068)
(310,27775)
(320,4912)
(333,25046)
(341,14117)
(342,29740)
(342,21451)
(345,7580)
(345,26056)
(346,23076)
(351,10127)
(351,53466)
(355,17244)
(355,17785)
(364,34231)
(370,5957)
(370,26139)
(377,6164)
(377,34273)
(384,51019)
(387,8942)
(387,6062)
(389,43602)
(389,50279)
(396,20918)
(413,29013)
(413,13846)
(432,21031)
(432,41281)
(435,49706)
(435,35106)
(449,40864)
(454,45092)
(458,28913)
(458,10063)
(463,4708)
(466,14891)
(466,42748)
(472,17260)
(472,38839)
(488,47233)
(488,7350)
(497,41520)
(497,19382)
(498,47410)
(498,6978)
(506,41126)
(526,39854)
(539,41642)
(539,31547)
(553,33879)
(553,1347)
(556,31286)
(556,41839)
(558,14765)
(560,21778)
(578,6766)
(578,21674)
(580,11094)
(580,34631)
(586,13625)
(587,52838)
(590,9767)
(607,43039)
(607,9100)
(608,43966)
(608,20129)
(627,7787)
(627,2769)
(628,22154)
(632,18808)
(632,33528)
(642,9549)
(642,45389)
(646,41005)
(659,11474)
(659,2546)
(662,22819)
(662,14323)
(677,26328)
(697,23298)
(697,1711)
(716,38706)
(716,20692)
(721,41751)
(743,37384)
(743,50299)
(745,32390)
(749,21162)
(749,14940)
(757,39401)
(758,18818)
(772,16292)
(772,10042)
(778,13671)
(778,21137)
(783,35718)
(797,5316)
(797,26836)
(800,22984)
(800,53157)
(809,37912)
(811,38579)
(816,43775)
(816,39410)
(830,49739)
(830,32539)
(834,12929)
(834,41581)
(835,13259)
(835,21434)
(841,38583)
(841,38702)
(841,11794)
(856,6752)
(868,29578)
(868,31927)
(871,3118)
(871,44761)
(879,4520)
(890,3081)
(890,33690)
(891,9428)
(904,41909)
(904,5201)
(911,15737)
(913,34571)
(920,53596)
(923,21225)
(943,20080)
(943,20080)
(982,25668)
(983,20539)
(983,20429)
(991,4800)
(991,52791)
(993,20964)
(1001,51902)
(1001,47388)
(1002,52771)
(1009,35892)
(1053,36645)
(1058,3157)
(1065,12930)
(1065,18262)
(1101,29924)
(1102,27221)
(1102,26269)
(1103,19145)
(1103,23771)
(1103,11019)
(1106,31479)
(1106,14425)
(1128,4836)
(1128,4827)
(1133,42120)
(1136,51621)
(1136,34511)
(1137,341)
(1182,19057)
(1183,26321)
(1191,21192)
(1193,17142)
(1194,21414)
(1194,46559)
(1199,21466)
(1199,12979)
(1209,3295)
(1210,16679)
(1210,52882)
(1219,2141)
(1219,30655)
(1242,39457)
(1248,52666)
(1253,2707)
(1253,30606)
(1274,1248)
(1320,48301)
(1320,37873)
(1323,26288)
(1323,1578)
(1325,31665)
(1325,40598)
(1326,12283)
(1329,41447)
(1329,15009)
(1330,21578)
(1330,36270)
(1333,8806)
(1333,15852)
(1338,23999)
(1347,29467)
(1359,5448)
(1361,346)
(1361,2671)
(1377,2313)
(1409,628)
(1409,51773)
(1413,31578)
(1424,34672)
(1435,590)
(1440,6982)
(1466,43683)
(1466,47419)
(1477,19073)
(1483,21464)
(1483,27798)
(1487,40249)
(1487,17209)
(1487,52543)
(1490,23974)
(1490,44075)
(1492,20108)
(1492,13733)
(1500,29428)
(1500,31989)
(1503,33239)
(1503,32927)
(1518,28965)
(1520,50812)
(1521,46355)
(1521,9863)
(1526,32748)
(1537,184)
(1563,3344)
(1563,23149)
(1564,26805)
(1566,43537)
(1569,30851)
(1575,10038)
(1578,45397)
(1609,7168)
(1611,38213)
(1613,11736)
(1617,42560)
(1630,39416)
(1637,46801)
(1637,48063)
(1647,2803)
(1647,49438)
(1648,6256)
(1648,46258)
(1652,31545)
(1652,32898)
(1657,24440)
(1657,32725)
(1662,42928)
(1662,53566)
(1665,52316)
(1665,30136)
(1665,4008)
(1695,2124)
(1695,20790)
(1711,23298)
(1711,19141)
(1718,34390)
(1720,28204)
(1720,51347)
(1732,27236)
(1732,5305)
(1736,19426)
(1736,20819)
(1760,20463)
(1786,24413)
(1786,15525)
(1790,30909)
(1804,11434)
(1804,30417)
(1807,37588)
(1814,28522)
(1814,46120)
(1826,33848)
(1826,39460)
(1834,6250)
(1834,30168)
(1842,21932)
(1842,46125)
(1850,37752)
(1850,53174)
(1852,22787)
(1852,42037)
(1854,43342)
(1879,47172)
(1879,51771)
(1890,8861)
(1890,8861)
(1893,41975)
(1893,27209)
(1917,4827)
(1918,7665)
(1920,40256)
(1920,44120)
(1934,33981)
(1934,29722)
(1936,50860)
(1948,36264)
(1959,14477)
(1959,14477)
(1977,29226)
(1988,13510)
(1988,45811)
(1992,26749)
(1992,35232)
(1995,53099)
(2000,46470)
(2000,44373)
(2004,12950)
(2004,44725)
(2013,44406)
(2013,26676)
(2086,35504)
(2087,26991)
(2099,17410)
(2099,26594)
(2112,2286)
(2112,13837)
(2124,46855)
(2132,49721)
(2141,40691)
(2141,35899)
(2146,2650)
(2146,10601)
(2148,22971)
(2149,37357)
(2149,37780)
(2154,53047)
(2166,37262)
(2168,17080)
(2168,24015)
(2168,47018)
(2168,42514)
(2184,44852)
(2184,2185)
(2185,35183)
(2208,13863)
(2208,46730)
(2218,50464)
(2218,20768)
(2221,7279)
(2221,15530)
(2223,30613)
(2223,30613)
(2225,26954)
(2232,19225)
(2252,34581)
(2258,33332)
(2258,17219)
(2283,15544)
(2283,4454)
(2285,20264)
(2285,28893)
(2286,20518)
(2313,50333)
(2313,1377)
(2314,1424)
(2314,2314)
(2317,48851)
(2317,23863)
(2321,30894)
(2321,32837)
(2336,46734)
(2336,26369)
(2340,17634)
(2340,38100)
(2341,40597)
(2345,12961)
(2356,52344)
(2361,17085)
(2361,10445)
(2364,46689)
(2371,46473)
(2382,48541)
(2382,11318)
(2400,662)
(2420,14957)
(2420,3521)
(2423,24691)
(2423,43832)
(2426,7974)
(2426,50044)
(2436,43282)
(2449,21557)
(2453,1920)
(2453,19714)
(2466,21604)
(2466,26688)
(2478,32725)
(2478,51903)
(2480,45105)
(2480,48724)
(2490,43066)
(2491,627)
(2506,45030)
(2506,8837)
(2511,29304)
(2511,46046)
(2520,46230)
(2536,9688)
(2536,23750)
(2539,31321)
(2539,47201)
(2545,24357)
(2545,2889)
(2546,49922)
(2546,45056)
(2549,31479)
(2549,27764)
(2562,15834)
(2566,209)
(2566,19694)
(2572,29806)
(2590,27159)
(2590,29899)
(2599,41791)
(2599,5449)
(2599,33001)
(2601,22590)
(2608,41608)
(2608,12779)
(2621,21364)
(2650,17226)
(2659,22906)
(2671,16219)
(2687,26315)
(2694,45992)
(2694,3177)
(2694,2232)
(2696,50613)
(2696,16568)
(2704,31392)
(2704,36027)
(2707,48185)
(2707,1253)
(2707,23682)
(2741,49063)
(2741,20994)
(2744,9173)
(2744,5420)
(2759,30106)
(2759,40878)
(2769,15264)
(2776,52967)
(2803,47264)
(2818,34357)
(2818,772)
(2819,42364)
(2826,2232)
(2826,51900)
(2827,46216)
(2847,5791)
(2849,49326)
(2849,19956)
(2850,48958)
(2850,29882)
(2852,46705)
(2852,25002)
(2853,48433)
(2853,37722)
(2861,4385)
(2861,37532)
(2861,811)
(2880,29599)
(2880,38107)
(2886,32582)
(2887,48852)
(2887,5197)
(2889,8976)
(2890,6897)
(2890,42336)
(2898,26632)
(2903,27)
(2903,47454)
(2910,44299)
(2910,286)
(2917,17253)
(2933,25677)
(2935,36165)
(2940,42547)
(2940,26092)
(2968,41130)
(2971,19843)
(2971,27133)
(2994,21028)
(3001,43043)
(3005,27298)
(3005,44059)
(3006,47550)
(3006,18701)
(3007,8795)
(3007,36670)
(3007,21446)
(3011,12989)
(3019,50263)
(3019,51097)
(3026,5642)
(3026,53590)
(3034,11741)
(3034,16989)
(3053,5752)
(3054,21234)
(3054,33865)
(3069,6704)
(3069,29451)
(3070,43420)
(3070,19122)
(3081,35409)
(3082,32091)
(3092,46864)
(3106,30808)
(3106,53189)
(3118,39998)
(3118,3034)
(3118,11741)
(3136,4817)
(3136,31340)
(3140,4088)
(3140,49622)
(3149,10255)
(3149,18578)
(3157,3396)
(3157,35951)
(3159,10543)
(3163,20555)
(3163,42914)
(3170,30077)
(3177,48879)
(3185,6379)
(3185,49662)
(3188,47984)
(3188,52987)
(3191,42429)
(3197,21893)
(3203,13635)
(3204,10751)
(3210,5449)
(3210,37432)
(3213,16547)
(3213,15203)
(3232,21673)
(3236,13003)
(3236,31642)
(3238,26047)
(3238,5512)
(3242,22288)
(3242,36723)
(3250,42384)
(3250,16529)
(3284,21560)
(3284,8526)
(3295,3238)
(3314,45635)
(3325,37121)
(3329,32860)
(3331,36094)
(3331,51792)
(3344,488)
(3357,48272)
(3357,31218)
(3357,53490)
(3364,43548)
(3364,5545)
(3368,50601)
(3368,30618)
(3391,42816)
(3391,30223)
(3396,27759)
(3396,32500)
(3428,19682)
(3428,53481)
(3428,27399)
(3435,16078)
(3447,1483)
(3447,16961)
(3452,31896)
(3452,30874)
(3467,4143)
(3467,44296)
(3478,8504)
(3480,22137)
(3480,34160)
(3515,50703)
(3521,33955)
(3521,39836)
(3537,16390)
(3537,1977)
(3545,43964)
(3564,6436)
(3574,13590)
(3578,27035)
(3586,4045)
(3586,32264)
(3586,4045)
(3590,25135)
(3590,3590)
(3609,44019)
(3609,46864)
(3623,6967)
(3624,12237)
(3625,4161)
(3625,16848)
(3627,52612)
(3627,52612)
(3663,36736)
(3663,42236)
(3664,32731)
(3666,5530)
(3667,28533)
(3667,45120)
(3674,1193)
(3688,8325)
(3688,32558)
(3691,44465)
(3691,28527)
(3694,43859)
(3694,36420)
(3707,39383)
(3707,29921)
(3714,30984)
(3714,42595)
(3723,23850)
(3725,6164)
(3725,34273)
(3728,27666)
(3728,10215)
(3756,5808)
(3761,43238)
(3762,19508)
(3762,49194)
(3764,30427)
(3780,48730)
(3780,17851)
(3782,21484)
(3782,36512)
(3810,46665)
(3843,21184)
(3843,14998)
(3844,1814)
(3844,41758)
(3848,13018)
(3853,39695)
(3853,6179)
(3867,3011)
(3867,21199)
(3889,39923)
(3889,23463)
(3891,51257)
(3891,3329)
(3901,30432)
(3901,11249)
(3901,36727)
(3914,16786)
(3914,10763)
(3925,51049)
(3929,13420)
(3929,30839)
(3935,1521)
(3946,21092)
(3946,16809)
(3966,7731)
(3966,37044)
(3977,9299)
(3977,20259)
(3978,34600)
(3978,53091)
(3979,1183)
(3979,51478)
(3982,15768)
(3982,16968)
(3985,34976)
(3985,20249)
(4004,24036)
(4004,27707)
(4008,4667)
(4008,1665)
(4014,27473)
(4014,22958)
(4034,48730)
(4042,46702)
(4045,39663)
(4076,50413)
(4077,31467)
(4078,1518)
