(3,1168.21,1098.27)
(9,879.885,596.227)
(16,2267.38,-382.511)
(27,3846.01,-553.751)
(41,-1686.83,1303.32)
(53,2065,-936.15)
(60,-1084.93,-1220.14)
(80,2551.15,348.263)
(84,268.202,94.2933)
(89,2816.23,665.946)
(98,2884.51,1033.45)
(102,4065.73,-33.5809)
(110,4961.3,-2352.22)
(118,2073.12,-349.486)
(126,2275.49,1266.73)
(131,156.34,787.705)
(158,-985.409,-687.629)
(162,510.941,300.337)
(173,872.769,606.568)
(174,-802.049,-269.759)
(177,2627.31,679.512)
(184,5688.18,-2047.77)
(197,3257.79,811.501)
(206,1570.85,1040.01)
(209,2834.03,1002.53)
(213,2198.66,1506.58)
(215,4350.39,-953.941)
(233,3140.48,-814.392)
(236,-717.541,291.108)
(242,-209.269,1563.51)
(286,-210.158,1349.13)
(294,911.687,-2149.73)
(297,4746.58,-946.491)
(307,6719.51,-1042.56)
(310,1179.11,1064.8)
(320,2529.46,221.611)
(333,2498.99,1102.5)
(341,1320.55,-748.564)
(342,16.6792,138.104)
(345,1791.35,1323.44)
(346,4400.87,-739.224)
(351,2631.76,426.099)
(355,1792.8,898.344)
(364,2342.99,1456.54)
(370,2874.61,918.47)
(377,-1354.58,-450.117)
(384,2256.26,-2259.59)
(387,377.618,-242.85)
(389,3476.95,919.137)
(396,3832.22,-601.009)
(413,475.247,-911.91)
(432,5434.54,-1536.6)
(435,1882.97,1438.64)
(449,2290.95,-1200.68)
(454,6142.3,-1299.54)
(458,478.027,158.23)
(463,-272.65,1592.2)
(466,770.358,176.466)
(472,1662.03,655.161)
(488,391.295,-764.465)
(497,492.816,469.576)
(498,1283.97,1141.19)
(506,3846.9,-1315.66)
(526,5879.43,-250.856)
(539,2675.79,184.806)
(553,3615.61,-351.598)
(556,2752.63,635.59)
(558,33.2473,-1047.01)
(560,3937.3,-1597.98)
(578,1976.27,706.421)
(580,1774.23,1403.72)
(586,3059.53,377.062)
(587,-696.747,-1429.63)
(590,6236.92,227.838)
(607,2292.95,1423.41)
(608,1433.75,874.437)
(627,-1167.1,-388.626)
(628,3208.53,408.753)
(632,1522.26,664.501)
(642,6325.77,79.5044)
(646,4389.31,325.579)
(659,5923.69,-263.087)
(662,3881.37,-446.781)
(677,2477.09,-1763.89)
(697,-1968.93,461.681)
(716,1702.51,820.063)
(721,942.155,-2313.63)
