(3,1168.21,1098.27)
(5,72.0543,349.819)
(9,879.885,596.227)
(14,4552.88,1015.77)
(16,2267.38,-382.511)
(18,817.505,-1319.11)
(27,3846.01,-553.751)
(32,4306.36,-188.364)
(41,-1686.83,1303.32)
(46,6274.4,1157.43)
(53,2065,-936.15)
(54,2717.83,1208.8)
(58,4636.61,670.505)
(59,1122.96,821.286)
(60,-1084.93,-1220.14)
(70,6577.18,-174.354)
(72,4289.34,1097.94)
(77,1878.3,-405.528)
(78,2397.7,-484.587)
(80,2551.15,348.263)
(84,268.202,94.2933)
(87,1897.99,764.02)
(89,2816.23,665.946)
(90,3815.65,496.152)
(98,2884.51,1033.45)
(102,4065.73,-33.5809)
(104,308.788,-1579.19)
(110,4961.3,-2352.22)
(114,1967.26,1244.72)
(117,5077.16,-453.786)
(118,2073.12,-349.486)
(126,2275.49,1266.73)
(130,1190.68,1537.83)
(131,156.34,787.705)
(132,1795.13,-483.92)
(136,4634.49,1281.97)
(145,3540,1281.08)
(147,2381.13,942.933)
(158,-985.409,-687.629)
(162,510.941,300.337)
(172,3545.67,1065.69)
(173,872.769,606.568)
(174,-802.049,-269.759)
(177,2627.31,679.512)
(184,5688.18,-2047.77)
(187,-556.642,571.542)
(197,3257.79,811.501)
(203,4795.73,-978.404)
(204,3374.77,47.0355)
(206,1570.85,1040.01)
(209,2834.03,1002.53)
(213,2198.66,1506.58)
(215,4350.39,-953.941)
(223,3709.69,1607.32)
(226,3628.85,1113.84)
(233,3140.48,-814.392)
(236,-717.541,291.108)
(242,-209.269,1563.51)
(254,5827.28,739.335)
(256,4859.89,-1922.34)
(271,4252.43,973.512)
(282,2044.32,89.1783)
(286,-210.158,1349.13)
(294,911.687,-2149.73)
(297,4746.58,-946.491)
(302,6221.02,159.231)
(307,6719.51,-1042.56)
(310,1179.11,1064.8)
(320,2529.46,221.611)
(323,1857.73,166.236)
(325,491.37,598.006)
(329,2297.18,227.505)
(333,2498.99,1102.5)
(334,1791.46,-460.125)
(341,1320.55,-748.564)
(342,16.6792,138.104)
(345,1791.35,1323.44)
(346,4400.87,-739.224)
(351,2631.76,426.099)
(355,1792.8,898.344)
(364,2342.99,1456.54)
(370,2874.61,918.47)
(376,1748.99,-363.607)
(377,-1354.58,-450.117)
(384,2256.26,-2259.59)
(387,377.618,-242.85)
(389,3476.95,919.137)
(396,3832.22,-601.009)
(402,-1064.69,67.1617)
(405,-1097.61,64.3819)
(407,2254.81,-73.9446)
(413,475.247,-911.91)
(416,2842.36,-2372.57)
(426,2742.29,795.377)
(427,1627.56,-2392.47)
(432,5434.54,-1536.6)
(434,815.948,-10.0075)
(435,1882.97,1438.64)
(445,4396.09,-193.59)
(449,2290.95,-1200.68)
(454,6142.3,-1299.54)
(457,-141.551,-315.015)
(458,478.027,158.23)
(463,-272.65,1592.2)
(466,770.358,176.466)
(468,5062.93,1674.93)
(469,4985.87,263.087)
(472,1662.03,655.161)
(477,4300.24,856.535)
(484,3607.27,1547.94)
(488,391.295,-764.465)
(497,492.816,469.576)
(498,1283.97,1141.19)
(503,2771.2,166.125)
(504,-1479.34,-107.97)
(506,3846.9,-1315.66)
(508,6800.68,317.35)
(522,1114.95,145.665)
(526,5879.43,-250.856)
(527,1201.46,-531.734)
(533,3520.88,512.386)
(539,2675.79,184.806)
(547,3268.02,1014.88)
(552,-1148.87,1023.99)
(553,3615.61,-351.598)
(556,2752.63,635.59)
(558,33.2473,-1047.01)
(560,3937.3,-1597.98)
(572,2076.23,1326.11)
(574,4374.19,-97.6291)
(578,1976.27,706.421)
(580,1774.23,1403.72)
(586,3059.53,377.062)
(587,-696.747,-1429.63)
(590,6236.92,227.838)
(592,-1623.11,1656.47)
(593,1981.27,703.197)
(601,6258.16,228.394)
(607,2292.95,1423.41)
(608,1433.75,874.437)
(611,-1078.03,66.6058)
(618,2952,455.788)
(619,3256.79,1051.24)
(627,-1167.1,-388.626)
(628,3208.53,408.753)
(632,1522.26,664.501)
(638,4441.13,292.776)
(639,-2130.49,535.292)
(640,2062.33,649.712)
(642,6325.77,79.5044)
(645,3828.89,1197.24)
(646,4389.31,325.579)
(648,-277.32,-245.63)
(650,9.67396,303.785)
(652,1569.63,934.037)
(659,5923.69,-263.087)
(660,3164.5,-2477.09)
(662,3881.37,-446.781)
(663,-1232.71,-1510.92)
(665,1345.01,454.231)
(673,3061.64,222.056)
(675,282.324,1574.52)
(677,2477.09,-1763.89)
(679,1466.33,1038.78)
(697,-1968.93,461.681)
(698,-1841.05,-1724.41)
(716,1702.51,820.063)
(717,583.885,112.307)
(721,942.155,-2313.63)
(732,-168.016,-124.538)
(735,4612.81,-907.684)
(743,587.888,828.069)
(745,6056.68,-1835.27)
(749,359.827,-525.841)
(755,6608.65,-184.472)
(757,6112.05,-948.493)
(758,5967.16,75.1678)
(771,1774,157.674)
(772,2979.91,331.917)
(778,-781.033,-1655.25)
(779,4267.33,-14.6777)
(783,2550.92,380.175)
(793,-1261.51,-1791.35)
(797,-1608.77,1291.97)
(800,4960.29,-1075.7)
(809,2214.34,625.36)
(810,-547.19,169.906)
(811,392.852,-294.778)
(816,1638.68,94.7381)
(830,927.254,-787.149)
(831,2208.44,639.26)
(834,6244.71,-1404.06)
(835,-644.931,-1221.7)
(838,-1217.81,-1790.35)
(840,1459.1,800.492)
(841,-800.159,-1226.81)
(851,3996.79,274.429)
(852,2420.94,975.847)
(856,620.69,366.387)
(859,4515.74,306.453)
(861,2462.86,880.664)
(868,1639.57,1410.51)
(871,-882.777,1185.78)
(872,2448.62,913.355)
(874,4358.51,305.452)
(879,4006.13,1350.35)
(883,-1746.76,-240.292)
(890,-655.939,-1424.96)
(891,1737.53,1044.34)
(904,2364.45,392.296)
(905,2193.99,139.661)
(911,2430.5,1149.31)
(912,1789.13,339.256)
(913,465.684,-306.008)
(920,182.471,769.135)
(923,4049.05,-1507.58)
(938,-1613.22,-1737.42)
(943,720.766,395.409)
(951,-758.461,1629.78)
(958,1892.43,723.879)
(968,498.82,483.809)
(978,623.804,-1721.19)
(982,2986.03,226.504)
(983,2434.5,1440.53)
(988,1498.46,860.315)
(991,2400.81,35.8048)
(992,3003.15,457.011)
(993,4924.93,-1306.99)
(1000,-1977.71,-1783.12)
(1001,2610.86,357.158)
(1002,6564.61,-756.014)
(1009,6169.98,-127.318)
(1015,2592.62,1465.33)
(1021,3817.66,578.992)
(1029,-1017.21,-1766.11)
(1037,1053.79,-596.894)
(1044,-2118.04,160.009)
(1051,598.785,-1696.39)
(1053,4445.13,831.071)
(1058,388.515,-180.025)
(1061,505.937,631.142)
(1065,2429.5,783.924)
(1068,1536.83,1268.73)
(1073,-998.642,-2491.1)
(1076,3989.9,1400.83)
(1091,2052.32,678.734)
(1092,3058.97,11.4531)
(1097,1653.13,790.485)
(1101,2280.27,-886.112)
(1102,3000.37,1285.64)
(1103,2303.18,1459.21)
(1105,-8.22842,-81.8395)
(1106,3055.19,1226.37)
(1128,4026.81,150.447)
(1132,4871.56,-1799.58)
(1133,2691.25,-200.929)
(1134,4153.58,-2471.64)
(1136,-1222.03,1010.54)
(1137,1321.55,-755.236)
(1140,-2144.62,-2094.91)
(1141,3605.16,-2339.99)
(1150,-1001.98,-2159.96)
(1151,3517.1,-2360.45)
(1154,1644.46,1379.82)
(1155,3493.74,-2217.23)
(1159,3235.66,286.772)
(1160,2024.64,643.93)
(1168,1622.56,635.813)
(1171,3167.05,-1407.51)
(1173,-1326.44,-224.836)
(1182,3343.97,863.317)
(1183,3725.03,-2269.82)
(1189,4371.96,231.953)
(1191,6015.87,44.9228)
(1193,1645.68,1391.05)
(1194,4159.47,-1118.4)
(1199,3950.64,-2042.54)
(1205,2388.47,45.4787)
(1209,1984.16,809.388)
(1210,4308.69,545.189)
(1218,1019.1,700.528)
(1219,4361.73,-1883.86)
(1224,3468.28,-290.664)
(1228,-2097.8,-692.856)
(1232,3575.25,1059.47)
(1240,2453.85,-2178.42)
(1242,3732.15,-69.9416)
(1248,402.414,331.917)
(1249,4837.2,-1647.35)
(1252,4847.65,1086.49)
(1253,2271.38,1511.81)
(1265,-1092.93,96.962)
(1274,392.073,343.926)
(1286,-1102.5,1182.67)
(1289,-1669.48,1645.02)
(1315,5928.02,-19.3479)
(1320,5987.29,-880.553)
(1323,-697.081,-246.63)
(1325,1301.09,1100.5)
(1326,3224.32,569.652)
(1329,2890.29,879.774)
(1330,412.311,358.048)
(1333,243.739,717.096)
(1336,2639.21,805.83)
(1338,458.79,-410.309)
(1343,-1989.94,116.31)
(1347,3633.52,-339.589)
(1353,1525.15,1167.77)
(1354,3319.84,649.378)
(1359,2735.28,-1777.12)
(1361,4525.97,-777.809)
(1375,3027.06,132.767)
(1376,4568.44,12.4538)
(1377,4768.26,959.167)
(1378,3463.61,1227.7)
(1389,3750.27,491.37)
(1398,6908.21,-1420.29)
(1405,-2135.5,-1629.12)
(1409,3201.52,328.692)
(1410,-1944.13,-1669.59)
(1412,4356.95,1199.01)
(1413,4555.1,745.784)
(1415,-1735.2,1261.4)
(1424,5035.13,-490.147)
(1427,3829.78,1256.28)
(1430,1885.53,724.213)
(1435,6215.91,221.945)
(1440,2426.83,505.715)
(1453,1668.04,1312.99)
(1455,5350.92,-1658.14)
(1460,3268.91,1015.54)
(1466,5497.48,392.296)
(1475,6676.7,-43.1436)
(1477,5564.75,-319.241)
(1483,789.818,384.957)
(1487,1762.11,912.577)
(1490,-285.993,-753.457)
(1491,3061.53,-2529.46)
(1492,2391.8,1217.03)
(1497,1484.67,-2453.4)
(1499,425.654,-530.066)
(1500,1386.38,1066.47)
(1503,36.8055,247.298)
(1517,1389.71,174.131)
(1518,2898.74,865.875)
(1520,-107.525,-398.967)
(1521,2425.16,1437.64)
(1526,1052.68,1071.47)
(1527,1215.03,-2567.27)
(1535,4410.44,268.758)
(1537,5826.5,-2166.97)
(1542,737.111,827.735)
(1545,977.403,502.379)
(1546,2.2239,1484.56)
(1548,-24.6853,-344.593)
(1552,1799.47,1417.96)
(1563,377.062,-761.463)
(1564,5932.36,-804.606)
(1566,531.178,265.533)
(1569,2832.91,638.704)
(1570,-2120.15,2147.29)
(1575,5983.84,116.866)
(1578,-597.562,-227.171)
(1583,296.446,-224.836)
(1586,3575.25,1115.29)
(1592,2123.16,-268.536)
(1595,3797.31,554.529)
(1609,435.995,545.522)
(1611,5075.27,523.061)
(1613,2596.62,801.827)
(1617,-444.113,-1496.91)
(1630,5846.41,-20.5711)
(1632,3559.91,1199.13)
(1637,2659.34,-1048.79)
(1638,3039.85,-65.049)
(1642,2307.52,1504.47)
(1647,1966.48,1371.81)
(1648,3491.3,731.107)
(1649,-1673.82,-1748.65)
(1652,1696.61,756.681)
(1653,-2137.28,-392.963)
(1657,549.525,291.22)
(1660,2514.9,160.565)
(1662,2233.79,416.203)
(1665,1885.75,1022.66)
(1668,2111.7,193.813)
(1695,5554.74,-2300.73)
(1699,464.461,912.688)
(1710,6547.38,-1121.96)
(1711,-1963.48,461.793)
(1718,2841.36,1089.27)
(1719,-2187.98,45.5899)
(1720,-1391.6,-1664.14)
(1726,4669.07,-211.604)
(1732,2321.64,1122.85)
(1735,3802.76,-865.875)
(1736,-489.591,-1767.89)
(1740,4795.73,-1811.92)
(1744,2669.57,1068.92)
(1754,-593.892,-2018.19)
(1760,-1248.27,1128.52)
(1768,2038.43,915.468)
(1771,436.774,618.689)
(1772,-1983.05,-1722.97)
(1775,733.108,-148.445)
(1786,1975.6,899.567)
(1788,6073.47,-1432.41)
